Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Helicobacter mustelae,"Spiral-shaped, gram negative, 0.3-0.5 μm diameter, motile polar flagella",Gram negative,Selective Helicobacter Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g with selective antibiotics",Selective medium,Selective Helicobacter medium with antibiotics,"Gram negative spiral rod, Oxidase positive, Catalase positive, Motile, Urease positive, Microaerophilic","Animal pathogen, ferret gastric pathogen, mammalian gastric bacterium","35,37,40","6.5,7,7.5",Microaerophile
Thermoanaerobacter mathranii,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Anaerobic Thermophilic Medium,"Peptone 2.0 g, Yeast extract 1.0 g, Sodium chloride 0.5 g, Sodium acetate 1.0 g, Agar 1.5 g (anaerobically), pH 7.0-7.5",Selective thermophilic anaerobic medium,Anaerobic thermophilic medium,"Gram positive rod with spores, Oxidase negative, Catalase negative, Thermophilic, Strictly anaerobic, Fermentative","Thermophilic organism, thermophilic anaerobic spore-former, subsurface bacterium","70,75,80","6.5,7,7.5",Anaerobe
Acinetobacter baumannii,"Coccobacillus, gram negative, 0.5-0.8 μm, non-motile",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative coccobacillus, Oxidase negative, Catalase positive, Non-motile, Biofilm former","Environmental organism, opportunistic pathogen, nosocomial infection agent","25,30,37","6.5,7,7.5",Aerobe
Serratia marcescens,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Lactose fermenter, pink colonies, red pigment producer","Gram negative rod, Oxidase negative, Catalase positive, Motile, Red prodigiosin pigment","Environmental organism, opportunistic pathogen, pigment producer","25,30,37","6.5,7,7.5",Facultative anaerobe
Klebsiella pneumoniae,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Lactose fermenter, mucoid pink colonies","Gram negative rod, Oxidase negative, Catalase positive, Motile, Lactose fermenter, Urease positive","Environmental organism, human pathogen, respiratory pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Proteus vulgaris,"Rod-shaped, gram negative, 0.4-0.6 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Non-lactose fermenter, colorless colonies, swarming motility","Gram negative rod, Oxidase negative, Catalase positive, Motile, Urease positive, Swarming","Environmental organism, human pathogen, urinary tract pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Morganella morganii,"Rod-shaped, gram negative, 0.4-0.6 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Non-lactose fermenter, colorless colonies","Gram negative rod, Oxidase negative, Catalase positive, Motile, Urease positive","Environmental organism, opportunistic pathogen, urinary pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Providencia stuartii,"Rod-shaped, gram negative, 0.4-0.6 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Non-lactose fermenter, colorless colonies","Gram negative rod, Oxidase negative, Catalase positive, Motile, Indole positive","Environmental organism, opportunistic pathogen, antibiotic-resistant","25,30,37","6.5,7,7.5",Facultative anaerobe
Citrobacter freundii,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Lactose fermenter, pink colonies, variable fermentation","Gram negative rod, Oxidase negative, Catalase positive, Motile, Citrate positive","Environmental organism, opportunistic pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Hafnia alvei,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Non-lactose fermenter, colorless colonies, slow fermentation","Gram negative rod, Oxidase negative, Catalase positive, Motile, Slow lactose fermenter","Environmental organism, opportunistic pathogen, food-associated","25,30,37","6.5,7,7.5",Facultative anaerobe
Edwardsiella tarda,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,Blood agar with motility observation,"Gram negative rod, Oxidase negative, Catalase positive, Motile, Indole positive, Methyl red positive","Environmental organism, aquatic pathogen, fish pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Plesiomonas shigelloides,"Rod-shaped, gram negative, 0.3-0.5 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,Blood agar with selective antibiotics,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Shigella-like colonies","Environmental organism, aquatic pathogen, gastroenteritis agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Aeromonas caviae,"Rod-shaped, gram negative, 0.3-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-hemolytic or weakly hemolytic","Environmental organism, aquatic pathogen, gastroenteritis agent","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Aeromonas sobria,"Rod-shaped, gram negative, 0.3-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Hemolytic","Environmental organism, aquatic pathogen, virulence factor producer","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Vibrio parahaemolyticus,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar with Salt,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 2.0 g, Agar 1.5 g",Blood Agar with Salt,"Blood agar base 1.5 g, Sheep blood 5 ml, Sodium chloride 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Halophilic, Hemolytic","Marine organism, seafood pathogen, gastroenteritis agent","25,30,37","7,7.2,7.5",Facultative anaerobe
Vibrio metschnikovii,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Halophilic","Marine organism, seawater bacterium, opportunistic pathogen","25,30,37","7,7.2,7.5",Facultative anaerobe
Salmonella enterica,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or Selective Salmonella Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",XLD Agar or HE Agar,Selective Salmonella medium with differential indicators,"Gram negative rod, Oxidase negative, Catalase positive, Motile, Non-lactose fermenter","Human pathogen, foodborne pathogen, enteric pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Shigella flexneri,"Rod-shaped, gram negative, 0.5-0.8 μm, non-motile",Gram negative,Nutrient Agar or Selective Shigella Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",XLD Agar,"XLD Agar: Yeast extract 0.3 g, Xylose 0.35 g, L-Lysine 0.5 g, Lactose 0.75 g, Sucrose 0.75 g, Sodium chloride 0.5 g, Phenol red 0.008 g, Sodium deoxycholate 0.25 g, Ferric ammonium citrate 0.08 g, Sodium thiosulfate 0.68 g, Agar 1.5 g","Gram negative rod, Oxidase negative, Catalase positive, Non-motile, Non-lactose fermenter","Human pathogen, diarrheal pathogen, dysentery agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Escherichia coli,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar or EMB Agar,"Lactose fermenter, pink or metallic colonies","Gram negative rod, Oxidase negative, Catalase positive, Motile, Lactose fermenter, MR positive, VP negative","Environmental organism, human pathogen, model organism","25,30,37","6.5,7,7.5",Facultative anaerobe
Bacillus anthracis,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic on blood agar","BSL-3 pathogen, biological warfare agent, anthrax agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Clostridium botulinum,"Rod-shaped, spore-forming, gram positive, 0.3-0.8 μm, anaerobic",Gram positive,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram positive rod with spores, Catalase negative, Obligate anaerobe, Botulinum toxin producer","Anaerobic organism, food poisoning agent, neurotoxin producer","25,30,37","6.5,7,7.5",Anaerobe
Clostridium difficile,"Rod-shaped, spore-forming, gram positive, 0.3-0.5 μm, anaerobic",Gram positive,Anaerobic Selective Medium,"Peptone 10 g, Yeast Extract 5 g, Glucose 1 g, Sodium Chloride 0.5 g, Agar 15 g, Distilled Water 100 ml, Selective Antibiotics",Blood Agar (anaerobic),"HM peptone B 1.0 g, Tryptose 1.0 g, Sodium chloride 0.5 g, Agar 1.5 ","Gram positive rod with spores, Catalase negative, Obligate anaerobe, Toxin A/B producer","Human pathogen, nosocomial pathogen, pseudomembranous colitis agent","35,37,40","6.5,7,7.5",Anaerobe
Clostridium tetani,"Rod-shaped, spore-forming, gram positive, 0.3-0.5 μm, anaerobic, drumstick shape",Gram positive,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram positive rod with terminal spores, Catalase negative, Obligate anaerobe, Tetanus toxin producer","Anaerobic organism, human pathogen, tetanus agent","25,30,37","6.5,7,7.5",Anaerobe
Listeria monocytogenes,"Rod-shaped, gram positive, 0.4-0.5 μm, motile peritrichous flagella at <30°C",Gram positive,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase positive, Cold motile, Hemolytic, Tumbling motility","Human pathogen, foodborne pathogen, meningitis agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Streptococcus pyogenes,"Cocci, gram positive, 0.5-1.0 μm, chains, non-motile",Gram positive,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive cocci in chains, Catalase negative, Oxidase negative, Hemolytic","Human pathogen, pharyngitis agent, scarlet fever agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Streptococcus pneumoniae,"Cocci, gram positive, 0.5-1.0 μm, diplococci lanceolate, non-motile",Gram positive,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive diplococci, Catalase negative, Oxidase negative, Alpha-hemolytic, Optochin sensitive","Human pathogen, respiratory pathogen, meningitis agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Enterococcus faecalis,"Cocci, gram positive, 0.5-1.0 μm, pairs or chains, non-motile",Gram positive,Nutrient Agar or Enterococcus Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive cocci, Catalase negative, Oxidase negative, Bile-esculin positive, PABA resistant","Environmental organism, human commensal, opportunistic pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Staphylococcus aureus,"Cocci, gram positive, 0.5-1.5 μm, clusters, non-motile",Gram positive,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Mannitol Salt Agar or Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml or MSA with mannitol fermentation","Gram positive cocci in clusters, Catalase positive, Coagulase positive, Beta-hemolytic","Skin flora, human pathogen, wound infection agent, food poisoning agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Candida albicans,"Yeast/pseudohyphae, gram positive, 3-4 μm spherical or elongated",Gram positive,Sabouraud Dextrose Agar,"Peptone 1.0 g, Dextrose 4.0 g, Agar 1.5 g",CHROMagar Candida,CHROMagar Candida medium,"Gram positive yeast, Catalase positive, Germ tube positive, Pseudohyphae former","Fungal organism, human pathogen, opportunistic yeast, mucosal infection agent","25,30,37","4.5,5,5.5",Aerobe
Cryptococcus neoformans,"Yeast, gram positive, 4-6 μm, encapsulated",Gram positive,Sabouraud Dextrose Agar,"Peptone 1.0 g, Dextrose 4.0 g, Agar 1.5 g",India Ink Stain Medium,India ink staining observation,"Gram positive yeast with polysaccharide capsule, Catalase positive, Melanin producer","Fungal organism, human pathogen, meningitis agent, encapsulated yeast","25,30,37","6.5,7,7.5",Aerobe
Pseudomonas syringae,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent UV 254nm, Plant pathogenic","Plant pathogen, phytopathogenic bacterium, ice nucleation active","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas campestris,"Rod-shaped, gram negative, 0.4-0.7 μm, motile polar flagella or non-motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",YDC Medium,Yeast extract dextrose calcium carbonate medium,"Gram negative rod, Oxidase variable, Catalase positive, Yellow pigment producer","Plant pathogen, phytopathogenic bacterium, leaf spot disease agent","25,28,30,37","6.5,7,7.5",Aerobe
Ralstonia solanacearum,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,CPG Medium or Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective CPG Medium,CPG selective medium for R. solanacearum,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Brown pigment producer","Plant pathogen, phytopathogenic bacterium, wilting disease agent","25,28,30,37","6.5,7,7.5",Aerobe
Agrobacterium tumefaciens,"Rod-shaped, gram negative, 0.6-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Ti plasmid transfer","Plant pathogen, crown gall disease agent, genetic engineering tool","25,28,30,37","6.5,7,7.5",Aerobe
Erwin erwinia chrysanthemi,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Lactose fermenter, pink colonies","Gram negative rod, Oxidase negative, Catalase positive, Motile, Pectinase producer","Plant pathogen, soft rot disease agent, phytopathogenic bacterium","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Bacillus thuringiensis,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores and parasporal crystal, Catalase positive, Motile, Insecticidal toxin producer","Bioinsecticide organism, biopesticide, entomopathogenic bacterium","25,30,37","6.5,7,7.5",Facultative anaerobe
Vibrio vulnificus,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Halophilic, Hemolytic","Marine organism, seawater bacterium, human pathogen, virulence pathogen","25,30,37","7,7.2,7.5",Facultative anaerobe
Acinetobacter pittii,"Coccobacillus, gram negative, 0.5-0.8 μm, non-motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative coccobacillus, Oxidase negative, Catalase positive, Non-motile, Biofilm former","Environmental organism, opportunistic pathogen, antibiotic-resistant","25,28,30,37","6.5,7,7.5",Aerobe
Burkholderia cepacia,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Selective B. cepacia Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective B. cepacia medium with antibiotics,B. cepacia selective medium,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Biofilm former, Plant-associated","Environmental organism, opportunistic pathogen, cystic fibrosis pathogen, plant-associated","25,28,30,37","6.5,7,7.5",Aerobe
Burkholderia pseudomallei,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Selective Burkholderia Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Ashdown medium,Selective Ashdown medium for B. pseudomallei,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Purple colonies on selective medium, Biofilm former","Environmental organism, BSL-3 pathogen, melioidosis agent, soil bacterium","25,28,30,37","6.5,7,7.5",Aerobe
Stenotrophomonas maltophilia,"Rod-shaped, gram negative, 0.5-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase negative, Catalase positive, Motile, Non-fluorescent","Environmental organism, opportunistic pathogen, nosocomial infection agent","25,28,30,37","6.5,7,7.5",Aerobe
Campylobacter jejuni,"Spiral-shaped, gram negative, 0.2-0.5 μm diameter, motile corkscrew",Gram negative,Selective Campylobacter Medium,"Campylobacter Selective Agar Base 42 g, Sodium Chloride 5 g, Agar 15 g, Selective Antibiotics (e.g., Trimethoprim, Cefoperazone) as needed",Selective Campylobacter Agar,Selective agar for Campylobacter isolation,"Gram negative spiral rod, Oxidase positive, Catalase positive, Motile corkscrew, Microaerophilic","Human pathogen, foodborne pathogen, gastroenteritis agent","42,43,45","6.5,7,7.5",Microaerophile
Helicobacter pylori,"Spiral-shaped, gram negative, 0.3-0.5 μm diameter, motile polar flagella",Gram negative,Selective Helicobacter Medium,"Helicobacter Agar Base 40 g, Sodium Chloride 5 g, Agar 15 g, Selective Antibiotics",Selective Helicobacter Agar,Selective agar for H. pylori isolation,"Gram negative spiral rod, Oxidase positive, Catalase positive, Motile, Urease positive, Microaerophilic","Human pathogen, gastric ulcer agent, stomach cancer agent","35,37,40","6.5,7,7.5",Microaerophile
Mycoplasma hominis,"Pleomorphic, gram negative (atypical), 0.1-0.3 μm, no cell wall (L-form)",Gram negative (cell wall-deficient),Specialized Mycoplasma Medium,"PPLO (Pleuropneumonia-Like Organisms) Agar Base 10 g, Horse Serum 10 ml, Sodium Chloride 0.5 g, Agar 15 g",Selective Mycoplasma medium,Mycoplasma selective medium,"Pleomorphic gram-negative organism, Non-culturable in standard media, Urease positive, Phosphatase positive","Human pathogen, urogenital infection agent, unculturable in standard media","35,37,39","6.5,7,7.5",Facultative anaerobe
Chlamydia trachomatis,"Rod-shaped, gram negative, 0.2-0.3 μm, obligate intracellular",Gram negative,Specialized tissue culture or eggs,"Not culturable in standard bacterial media, grown in cell culture or embryonated eggs",Cell culture observation,Cell culture medium in mammalian cells or chicken eggs,"Gram negative rod, Obligate intracellular, Non-culturable in vitro, Elementary bodies","Human pathogen, sexually transmitted infection agent, trachoma agent","35,37,39","6.5,7,7.5",Aerobe
Chlamydophila pneumoniae,"Rod-shaped, gram negative, 0.2-0.3 μm, obligate intracellular",Gram negative,Specialized tissue culture or eggs,"Not culturable in standard bacterial media, grown in cell culture or embryonated eggs",Cell culture observation,Cell culture medium in mammalian cells or chicken eggs,"Gram negative rod, Obligate intracellular, Non-culturable in vitro, Elementary bodies, Respiratory pathogen","Human pathogen, respiratory pathogen, pneumonia agent, atherosclerosis associated","35,37,39","6.5,7,7.5",Aerobe
Bartonella henselae,"Rod-shaped, gram negative, 0.3-0.6 μm, non-motile",Gram negative,Specialized Blood Agar or Chocolate Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml with chocolate",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase variable, Catalase positive, Non-motile, Fastidious, Cat-scratch disease agent","Human pathogen, cat-scratch disease agent, fastidious growth","35,37,39","6.5,7,7.5",Aerobe
Francisella tularensis,"Rod-shaped, gram negative, 0.2-0.3 μm, non-motile, pleomorphic",Gram negative,Specialized Medium with Cysteine,"Peptone 5 g, Glucose 1 g, Sodium Chloride 5 g, Cysteine 0.5 g, Sheep Blood 10 ml, Agar 15 g",Selective Francisella medium,Specialized medium for F. tularensis isolation,"Gram negative rod, Oxidase variable, Catalase positive, Non-motile, Fastidious growth, BSL-3 pathogen","BSL-3 pathogen, biological warfare agent, tularemia agent, rabbit fever agent","35,37,39","6.5,7,7.5",Aerobe
Brucella abortus,"Rod-shaped or coccobacillus, gram negative, 0.5-0.8 μm, non-motile",Gram negative,Specialized Brucella Medium,"Brucella Agar Base 40 g, Sheep Blood 10 ml, Sodium Chloride 5 g",Selective Brucella Agar,Selective agar for Brucella isolation,"Gram negative rod/coccobacillus, Oxidase positive, Catalase positive, Non-motile, Slow growing, BSL-3 pathogen","BSL-3 pathogen, zoonotic pathogen, brucellosis agent, livestock disease agent","35,37,39","6.5,7,7.5",Aerobe
Corynebacterium diphtheriae,"Rod-shaped, gram positive, 0.5-1.0 μm, coryneform metachromatic granules",Gram positive,Loeffler Serum Slant or Tinsdale Medium,"Beef infusion 5.0 g, Peptone 1.0 g, Dextrose 0.1 g, Sodium chloride 0.5 g, Serum 30%, Agar 1.5 g",Tinsdale Medium or Selective Corynebacterium,Selective medium with tellurite reduction,"Gram positive coryneform rod, Catalase positive, Non-motile, Metachromatic granules, Toxin producer","Human pathogen, respiratory diphtheria agent, toxin producer","25,30,37","6.5,7,7.5",Facultative anaerobe
Mycobacterium tuberculosis,"Rod-shaped, gram positive, 0.3-0.5 μm, acid-fast, slow-growing",Gram positive (acid-fast),Löwenstein-Jensen Medium or MGIT,"Glycerol 5.0 g, Asparagine 3.6 g, Monopotassium phosphate 2.5 g, Dipotassium phosphate 2.5 g, Sodium chloride 2.5 g, Magnesium sulfate 0.6 g, Iron ammonium citrate 0.4 g, Agar 1.5 g",Selective Mycobacterium medium,Löwenstein-Jensen slant or MGIT tube,"Acid-fast positive rod, Non-motile, Slow growing (2-8 weeks), Catalase variable","Human pathogen, respiratory tuberculosis agent, obligate pathogen","35,37,40","6.5,7,7.5",Aerobe
Mycobacterium avium,"Rod-shaped, gram positive, 0.2-0.6 μm, acid-fast, slow-growing",Gram positive (acid-fast),Löwenstein-Jensen Medium or MGIT,"Potato Starch 2 g, Asparagine 0.5 g, Magnesium Sulfate 0.4 g, Glycerol 5 ml, Egg Yolk 1 whole, Agar 15 g or ",Selective Mycobacterium medium,Löwenstein-Jensen slant or MGIT tube,"Acid-fast positive rod, Non-motile, Slow growing, Scotochromogenic","Environmental organism, opportunistic pathogen, disseminated MAC disease agent in AIDS","35,37,40","6.5,7,7.5",Aerobe
